raw_bijoy	context	source_file	question_number	correct_bengali
Uz	6g  f‡ii GK UyK‡iv Aweï× †jvnv‡K jNy H2SO4  `ªe‡Y `ªexf~Z K‡i cªvß `ªeY‡K m¤ú~Y©iƒ‡c RvwiZ Ki‡Z 0.02	C1 MCQ 1.mhtml	8	
Kiv	6g  f‡ii GK UyK‡iv Aweï× †jvnv‡K jNy H2SO4  `ªe‡Y `ªexf~Z K‡i cªvß `ªeY‡K m¤ú~Y©iƒ‡c RvwiZ Ki‡Z 0.02	C1 MCQ 1.mhtml	8	
i	6g  f‡ii GK UyK‡iv Aweï× †jvnv‡K jNy H2SO4  `ªe‡Y `ªexf~Z K‡i cªvß `ªeY‡K m¤ú~Y©iƒ‡c RvwiZ Ki‡Z 0.02	C1 MCQ 1.mhtml	8	
kZKiv	6g  f‡ii GK UyK‡iv Aweï× †jvnv‡K jNy H2SO4  `ªe‡Y `ªexf~Z K‡i cªvß `ªeY‡K m¤ú~Y©iƒ‡c RvwiZ Ki‡Z 0.02	C1 MCQ 1.mhtml	8	
cwigvY	6g  f‡ii GK UyK‡iv Aweï× †jvnv‡K jNy H2SO4  `ªe‡Y `ªexf~Z K‡i cªvß `ªeY‡K m¤ú~Y©iƒ‡c RvwiZ Ki‡Z 0.02	C1 MCQ 1.mhtml	8	
 KZ?	6g  f‡ii GK UyK‡iv Aweï× †jvnv‡K jNy H2SO4  `ªe‡Y `ªexf~Z K‡i cªvß `ªeY‡K m¤ú~Y©iƒ‡c RvwiZ Ki‡Z 0.02	C1 MCQ 1.mhtml	8	
wg_vBj	wg_vBj A‡iÄ wb‡`©k‡Ki pH cwimi-	C1 MCQ 1.mhtml	9	
A	wg_vBj A‡iÄ wb‡`©k‡Ki pH cwimi-	C1 MCQ 1.mhtml	9	
wb	wg_vBj A‡iÄ wb‡`©k‡Ki pH cwimi-	C1 MCQ 1.mhtml	9	
k	wg_vBj A‡iÄ wb‡`©k‡Ki pH cwimi-	C1 MCQ 1.mhtml	9	
Ki	wg_vBj A‡iÄ wb‡`©k‡Ki pH cwimi-	C1 MCQ 1.mhtml	9	
pH	wg_vBj A‡iÄ wb‡`©k‡Ki pH cwimi-	C1 MCQ 1.mhtml	9	
cwimi	wg_vBj A‡iÄ wb‡`©k‡Ki pH cwimi-	C1 MCQ 1.mhtml	9	
-	wg_vBj A‡iÄ wb‡`©k‡Ki pH cwimi-	C1 MCQ 1.mhtml	9	
wb	wb‡Pi †KvbwU Redox wewµqv bq?	C1 MCQ 1.mhtml	10	
Pi	wb‡Pi †KvbwU Redox wewµqv bq?	C1 MCQ 1.mhtml	10	
KvbwU	wb‡Pi †KvbwU Redox wewµqv bq?	C1 MCQ 1.mhtml	10	
Redox	wb‡Pi †KvbwU Redox wewµqv bq?	C1 MCQ 1.mhtml	10	
bq	wb‡Pi †KvbwU Redox wewµqv bq?	C1 MCQ 1.mhtml	10	
?	wb‡Pi †KvbwU Redox wewµqv bq?	C1 MCQ 1.mhtml	10	
 `	j¨ve‡iUwi‡Z `yBwU wfbœ wi‡q‡R›U †evZ‡j NaOH  `ªeY iwÿZ Av‡Q| GKwUi gvÎv 0.4M Ges AciwUi gvÎv 0.1M| 0	C1 MCQ 1.mhtml	11	
yBwU	j¨ve‡iUwi‡Z `yBwU wfbœ wi‡q‡R›U †evZ‡j NaOH  `ªeY iwÿZ Av‡Q| GKwUi gvÎv 0.4M Ges AciwUi gvÎv 0.1M| 0	C1 MCQ 1.mhtml	11	
0.4M	j¨ve‡iUwi‡Z `yBwU wfbœ wi‡q‡R›U †evZ‡j NaOH  `ªeY iwÿZ Av‡Q| GKwUi gvÎv 0.4M Ges AciwUi gvÎv 0.1M| 0	C1 MCQ 1.mhtml	11	
 Ges 	j¨ve‡iUwi‡Z `yBwU wfbœ wi‡q‡R›U †evZ‡j NaOH  `ªeY iwÿZ Av‡Q| GKwUi gvÎv 0.4M Ges AciwUi gvÎv 0.1M| 0	C1 MCQ 1.mhtml	11	
AciwUi	j¨ve‡iUwi‡Z `yBwU wfbœ wi‡q‡R›U †evZ‡j NaOH  `ªeY iwÿZ Av‡Q| GKwUi gvÎv 0.4M Ges AciwUi gvÎv 0.1M| 0	C1 MCQ 1.mhtml	11	
0.1M	j¨ve‡iUwi‡Z `yBwU wfbœ wi‡q‡R›U †evZ‡j NaOH  `ªeY iwÿZ Av‡Q| GKwUi gvÎv 0.4M Ges AciwUi gvÎv 0.1M| 0	C1 MCQ 1.mhtml	11	
| 	j¨ve‡iUwi‡Z `yBwU wfbœ wi‡q‡R›U †evZ‡j NaOH  `ªeY iwÿZ Av‡Q| GKwUi gvÎv 0.4M Ges AciwUi gvÎv 0.1M| 0	C1 MCQ 1.mhtml	11	
0.15 M	j¨ve‡iUwi‡Z `yBwU wfbœ wi‡q‡R›U †evZ‡j NaOH  `ªeY iwÿZ Av‡Q| GKwUi gvÎv 0.4M Ges AciwUi gvÎv 0.1M| 0	C1 MCQ 1.mhtml	11	
eY	j¨ve‡iUwi‡Z `yBwU wfbœ wi‡q‡R›U †evZ‡j NaOH  `ªeY iwÿZ Av‡Q| GKwUi gvÎv 0.4M Ges AciwUi gvÎv 0.1M| 0	C1 MCQ 1.mhtml	11	
bgybv	j¨ve‡iUwi‡Z `yBwU wfbœ wi‡q‡R›U †evZ‡j NaOH  `ªeY iwÿZ Av‡Q| GKwUi gvÎv 0.4M Ges AciwUi gvÎv 0.1M| 0	C1 MCQ 1.mhtml	11	
eY	j¨ve‡iUwi‡Z `yBwU wfbœ wi‡q‡R›U †evZ‡j NaOH  `ªeY iwÿZ Av‡Q| GKwUi gvÎv 0.4M Ges AciwUi gvÎv 0.1M| 0	C1 MCQ 1.mhtml	11	
 `	j¨ve‡iUwi‡Z `yBwU wfbœ wi‡q‡R›U †evZ‡j NaOH  `ªeY iwÿZ Av‡Q| GKwUi gvÎv 0.4M Ges AciwUi gvÎv 0.1M| 0	C1 MCQ 1.mhtml	11	
yBwU	j¨ve‡iUwi‡Z `yBwU wfbœ wi‡q‡R›U †evZ‡j NaOH  `ªeY iwÿZ Av‡Q| GKwUi gvÎv 0.4M Ges AciwUi gvÎv 0.1M| 0	C1 MCQ 1.mhtml	11	
 Kx 	j¨ve‡iUwi‡Z `yBwU wfbœ wi‡q‡R›U †evZ‡j NaOH  `ªeY iwÿZ Av‡Q| GKwUi gvÎv 0.4M Ges AciwUi gvÎv 0.1M| 0	C1 MCQ 1.mhtml	11	
?	j¨ve‡iUwi‡Z `yBwU wfbœ wi‡q‡R›U †evZ‡j NaOH  `ªeY iwÿZ Av‡Q| GKwUi gvÎv 0.4M Ges AciwUi gvÎv 0.1M| 0	C1 MCQ 1.mhtml	11	
KvbwU	wb‡Pi †KvbwU †m‡KÛvix ÷¨vÛvW© c`v_©?	C1 MCQ 1.mhtml	12	
c`v	wb‡Pi †KvbwU †m‡KÛvix ÷¨vÛvW© c`v_©?	C1 MCQ 1.mhtml	12	
 Ges 	CH3COOH  Ges NaOH  Gi cÖkgb wewµqvq wb‡`©kK wn‡m‡e †KvbwU e¨envi Dchy³?	C1 MCQ 1.mhtml	13	
 Gi	CH3COOH  Ges NaOH  Gi cÖkgb wewµqvq wb‡`©kK wn‡m‡e †KvbwU e¨envi Dchy³?	C1 MCQ 1.mhtml	13	
wb	CH3COOH  Ges NaOH  Gi cÖkgb wewµqvq wb‡`©kK wn‡m‡e †KvbwU e¨envi Dchy³?	C1 MCQ 1.mhtml	13	
kK	CH3COOH  Ges NaOH  Gi cÖkgb wewµqvq wb‡`©kK wn‡m‡e †KvbwU e¨envi Dchy³?	C1 MCQ 1.mhtml	13	
KvbwU	CH3COOH  Ges NaOH  Gi cÖkgb wewµqvq wb‡`©kK wn‡m‡e †KvbwU e¨envi Dchy³?	C1 MCQ 1.mhtml	13	
?	CH3COOH  Ges NaOH  Gi cÖkgb wewµqvq wb‡`©kK wn‡m‡e †KvbwU e¨envi Dchy³?	C1 MCQ 1.mhtml	13	
dbjd	†dbjd&&_¨vwjb	C1 MCQ 1.mhtml	13	
vwjb	†dbjd&&_¨vwjb	C1 MCQ 1.mhtml	13	
wg_vBj	wg_vBj †iW	C1 MCQ 1.mhtml	13	
iW	wg_vBj †iW	C1 MCQ 1.mhtml	13	
wg_vBj	wg_vBj A‡iÄ	C1 MCQ 1.mhtml	13	
 DfqB	  b & c  DfqB	C1 MCQ 1.mhtml	13	
Y	†¯úK‡UªvwgUv‡ii  2.0 cm  ˆ`‡N©¨i †m‡j ivLv  3.85×10−4 molL−1  NbgvÎvi †Kv‡bv iÄ‡Ki `ªeY  550 nm  Zi½	C1 MCQ 1.mhtml	15	
i 	†¯úK‡UªvwgUv‡ii  2.0 cm  ˆ`‡N©¨i †m‡j ivLv  3.85×10−4 molL−1  NbgvÎvi †Kv‡bv iÄ‡Ki `ªeY  550 nm  Zi½	C1 MCQ 1.mhtml	15	
GKwU	GKwU  250 cm3  d¬v‡¯‹  5.0 g  Kve©‡bU †hŠM we`¨gvb| `ªe‡Yi NbgvÎv   0.2 M | D³ †hŠ‡Mi m¤¢ve¨ ms‡KZ †	C1 MCQ 1.mhtml	16	
 I 	  10 g H2  I   25 g O2  wewµqv Ki‡j STP -†Z KZ AvqZb cvwb Drcbœ n‡e?	C1 MCQ 1.mhtml	17	
 [	∴2.5>2532∴nH22>nO21  [O2  wjwgwUs wewµqK]	C1 MCQ 1.mhtml	17	
wjwgwUs	∴2.5>2532∴nH22>nO21  [O2  wjwgwUs wewµqK]	C1 MCQ 1.mhtml	17	
]	∴2.5>2532∴nH22>nO21  [O2  wjwgwUs wewµqK]	C1 MCQ 1.mhtml	17	
AvqZb	UvB‡UªkbKv‡j Zi‡ji AvqZb m~²fv‡e cwigv‡ci Rb¨ †KvbwU e¨eüZ nq?	C1 MCQ 1.mhtml	18	
KvbwU	UvB‡UªkbKv‡j Zi‡ji AvqZb m~²fv‡e cwigv‡ci Rb¨ †KvbwU e¨eüZ nq?	C1 MCQ 1.mhtml	18	
 nq?	UvB‡UªkbKv‡j Zi‡ji AvqZb m~²fv‡e cwigv‡ci Rb¨ †KvbwU e¨eüZ nq?	C1 MCQ 1.mhtml	18	
 I 	wc‡cU I Kwb‡Kj d¬v¯‹	C1 MCQ 1.mhtml	18	
ey	ey¨‡iU I wc‡cU	C1 MCQ 1.mhtml	18	
iU	ey¨‡iU I wc‡cU	C1 MCQ 1.mhtml	18	
 I 	ey¨‡iU I wc‡cU	C1 MCQ 1.mhtml	18	
ey	ey¨‡iU I †gRvwis d¬v¯‹	C1 MCQ 1.mhtml	18	
iU	ey¨‡iU I †gRvwis d¬v¯‹	C1 MCQ 1.mhtml	18	
gRvwis	ey¨‡iU I †gRvwis d¬v¯‹	C1 MCQ 1.mhtml	18	
gRvwis	†gRvwis wmwjÛvi I Kwb‡Kj d¬v¯‹	C1 MCQ 1.mhtml	18	
 I 	†gRvwis wmwjÛvi I Kwb‡Kj d¬v¯‹	C1 MCQ 1.mhtml	18	
 avZz, 	j¨ve‡iUwi‡Z Ae¨eüZ Na  avZz,  NaH, LiAlH4  bó Ki‡Z †KvbwU‡K e¨envi Kiv †h‡Z cv‡i?	C1 MCQ 1.mhtml	19	
weDUvbj	weDUvbj	C1 MCQ 1.mhtml	19	
B_vbj	B_vbj	C1 MCQ 1.mhtml	19	
wg_vbj	wg_vbj	C1 MCQ 1.mhtml	19	
jv	me‡¸‡jv	C1 MCQ 1.mhtml	19	
Zvgvi	wcÖq wkÿv_©x, †Zvgvi cÖwZwU K¬v‡mi gv‡bvbœq‡b Avgiv m‡Pó I AvšÍwiK| †mRb¨B GB g~j¨vqb cÖwµqv| G‡ÿ‡Î 	C1 MCQ 1.mhtml	20	
Avgiv	wcÖq wkÿv_©x, †Zvgvi cÖwZwU K¬v‡mi gv‡bvbœq‡b Avgiv m‡Pó I AvšÍwiK| †mRb¨B GB g~j¨vqb cÖwµqv| G‡ÿ‡Î 	C1 MCQ 1.mhtml	20	
 I 	wcÖq wkÿv_©x, †Zvgvi cÖwZwU K¬v‡mi gv‡bvbœq‡b Avgiv m‡Pó I AvšÍwiK| †mRb¨B GB g~j¨vqb cÖwµqv| G‡ÿ‡Î 	C1 MCQ 1.mhtml	20	
| 	wcÖq wkÿv_©x, †Zvgvi cÖwZwU K¬v‡mi gv‡bvbœq‡b Avgiv m‡Pó I AvšÍwiK| †mRb¨B GB g~j¨vqb cÖwµqv| G‡ÿ‡Î 	C1 MCQ 1.mhtml	20	
 GB 	wcÖq wkÿv_©x, †Zvgvi cÖwZwU K¬v‡mi gv‡bvbœq‡b Avgiv m‡Pó I AvšÍwiK| †mRb¨B GB g~j¨vqb cÖwµqv| G‡ÿ‡Î 	C1 MCQ 1.mhtml	20	
| 	wcÖq wkÿv_©x, †Zvgvi cÖwZwU K¬v‡mi gv‡bvbœq‡b Avgiv m‡Pó I AvšÍwiK| †mRb¨B GB g~j¨vqb cÖwµqv| G‡ÿ‡Î 	C1 MCQ 1.mhtml	20	
Zvgvi	wcÖq wkÿv_©x, †Zvgvi cÖwZwU K¬v‡mi gv‡bvbœq‡b Avgiv m‡Pó I AvšÍwiK| †mRb¨B GB g~j¨vqb cÖwµqv| G‡ÿ‡Î 	C1 MCQ 1.mhtml	20	
